recno,seq,reference,onlink
33,1,"Bao, Z., 2001, Geochemistry of the sediment-hosted disseminated gold deposits in southwestern Guizhou Province, China: Québec, Canada, University of Québec, Ph.D. Thesis unpublished, 265 p., last accessed August 26, 2011, at http://bibvir.uqac.ca/theses/12335071/12335071.pdf.","http://bibvir.uqac.ca/theses/12335071/12335071.pdf"
33,2,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
33,3,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
33,4,"Nie, A., Mei, S., Guan, D., Wu, P., and Zhang, Z., 2008, A study on the genetic relations between Permian Longtan Formation coal series strata and Carlin-type gold deposits, southwestern Guizhou Province, China: Chinese Journal of Geochemistry, v. 27, p. 291–298.",
33,5,"Nie, F.-J., 1997, An overview of the gold resources of China: International Geology Review, v. 39, p. 55–81.",
33,8,"Xiao, T., Guha, J., and Boyle, D., 2004, High thallium content in rocks associated with Au–As–Hg–Tl and coal mineralization and its adverse environmental potential in SW Guizhou, China: Geochemistry: Exploration, Environment, Analysis, v. 4, p. 243–252.",
33,7,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian–Qian–Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
34,3,"Garwin, S.L., Hendri, D., and Lauricella, P.F., 1995, The geology of the Mesel sediment-hosted gold deposit, North Sulavesi, Indonesia: PACRIM Congress 1995 Proceedings, Australian Institute of Mining and Metallurgy, p. 221–226.",
34,1,"Blackwood, G.M., and Edinger, E.N., 2007, Mineralogy and trace element relative solubility patterns of shallow marine sediments affected by submarine tailings disposal and artisanal gold mining, Buyant-Ratatotok district, North Sulavesi, Indonesia: Environmental Geology, v. 52, p. 803–818.",
34,2,"Briggs, D.F., 2006, Mining operations report, version 2005. Unpublished.",
34,4,"Hofstra, A.H., and Christensen, O.D., 2002, Comparison of Carlin-type Au deposits in the United States, China, and Indonesia—Implications for genetic models and exploration: U.S. Geological Survey Open-File Report, ch. 2, 94 p., last accessed August 15, 2011, at pubs.usgs.gov/of/2002/of02-131/chapters/OF02-131_chapter2.pdf.",
34,5,"Kavalieris, I., van Leeuwen, T.M., and Wilson, M., 1992, Geological setting and styles of mineralization, north arm of Sulawesi, Indonesia: Journal of Southeast Asian Earth Sciences, v. 7, no. 2/3, p. 113–129.",
34,6,"Newmont Gold Company, 2002, Minahasa Raya process facilities: Press Release, 4 p., last accessed August 3, 2011, at http://surplus.newmont.com/minahasa/minahasa_02.cfm.","http://surplus.newmont.com/minahasa/minahasa_02.cfm"
34,7,"Sillitoe, R.H., 1994, Indonesian mineral deposits—Introductory comments, comparisons, and speculations: Journal of Geochemical Exploration, v. 50, p. 1–11.",
34,8,"Turner, S.J., Flindell, P.A., Hendri, D., Hardjana, I., Lauricella, P.F., Lindsay, R.P., Marpaung, B., and White, G.P., 1994, Sediment-hosted gold mineralization in the Ratatotok district, North Sulawesi, Indonesia: Journal of Geochemical Exploration, v. 50, p. 317–336.",
34,9,"Turner, S., Garwin, S.A., and Hofstra, A.H., 2002, Mesel SRHDG deposit and low-sulfidation gold veins in the Ratatotok district, North Sulawesi, Indonesia (Abstract): Geological Society of America Annual Meeting, Abstracts with Programs, v. 34, no. 6, p. 141.",
35,8,"Mehrabi, B., 2008, Solid solution in the As2S3-Sb2S3 series at Zarshuran gold deposit, Iran: Journal of Sciences, Islamic Republic of Iran, v. 19, no. 2, p. 137–143.",
35,9,"Paar, W.H., Pring, A., Moëlo, Y., Stanley, C.J., Putz, H., Topa, D., Roberts, A.C., and Braithwaite, R.S.W., 2009, Daliranite, PbHgAs2S6, a new sulphosalt from the Zarshouran Au-As deposit, Takab region, Iran: Mineralogical Magazine, v. 73, no. 5, p. 871–881.",
35,1,"Asadi, H.H., Voncken, J.H.L., and Hale, M., 1999, Invisible gold at Zarshuran, Iran: Economic Geology, v. 94, p. 1367–1374.",
35,2,"Asadi, H.H., and Hale, M., 1999, A predictive GIS model for mapping potential gold and base metal mineralization in Takab area, Iran: Computers & Geosciences, v. 27, p. 901–912.",
35,3,"Asadi, H.H., Voncken, J.H.L., Kühnel, R.A., and Hale, M., 2000, Petrography, mineralogy, and geochemistry of the Zarshuran Carlin-type gold deposit, Iran: Mineralium Deposita, v. 35, p. 656–671.",
35,4,"Daliran, F., 2008, The carbonate rock-hosted epithermal gold deposit of Agdarreh, Takab geothermal field, NW Iran—Hydrothermal alteration and mineralization: Mineralium Deposita, v. 43, p. 383–404.",
35,5,"Daliran, F., Hofstra, A.H., Walther, J., and Stueben, D., 2002, Agdarreh and Zarshuran SRHDG deposits, Takab region, Iran: Geological Society of America Annual Meeting, Abstracts with Programs, v. 34, no. 6, p. 141.",
35,6,"Mehrabi, B., Yardley, B.W.D., and Cann, J.R., 1999, Sediment-hosted disseminated gold mineralization at Zarshuran, NW Iran: Mineralium Deposita, v. 34, p. 673–696.",
35,7,"Mehrabi, B., Yardley, B.W.D., and Komninue, A.A., 2003, Modelling the As-Au association in hydrothermal gold mineralization—Example of Zarshuran deposit, NW Iran: Journal of Sciences, Islamic Republic of Iran, v. 14, no. 1, p. 37–52.",
36,6,"MarketWire, 2012, Olympus confirms mineralization width of up to 78 meters at Bau Central gold project: Northern Miner Press Releases of January 31, 2012.",
36,1,"Breward, N., and Williams, M., 1994, Preliminary appraisal of the environmental geochemistry of the Bau mining area, Sarawak, Malaysia: British Geological Survey Technical Report WC/94/67R, 32 p., last accessed August 10, 2011, at http://www.bgs.ac.uk/research/international/dfid-kar/WC94067R_col.pdf.","http://www.bgs.ac.uk/research/international/dfid-kar/WC94067R_col.pdf"
36,2,"Christensen, O., Garwin, S.L., and Mitchell, P.A., 1996, Carlin-type sedimentary rock-hosted disseminated gold deposits around the Pacific: Spokane, Northwest Mining Association, Short Course “New mineral deposit models of the Cordillera”, unpaged.",
36,3,"Dill, H.G., and Horn, E.E., 1996, The origin of a hypogene sarabauite-calcite mineralization at the Lucky Hill Au-Sb mine Sarawak, Malaysia: Journal of Southeast Asian Earth Sciences, v. 14. no. l–2, p. 29–35.",
36,4,"Hall, R., 2009, Hydrocarbon basins in SE Asia—Understanding why they are there: Petroleum Geoscience, v. 15, p. 131–146.",
36,5,"Hon, V., 1981, Physical controls of mineralization in the Bau town area, west Sarawak, Malaysia: Sarawak Mining Bulletin, v. 1, p. 43–55.",
36,7,"Nakai, I., Adachi, H., Matsubara, S., Kato, A., Masutomi, K., Fujiwara, T., and Nagashima, K., 1978, Sarabauite, a new oxide sulfide mineral from the Sarabau mine, Sarawak, Malaysia: American Mineralogist, v. 63, p. 715–719.",
36,8,"Olympus Pacific Minerals Inc., 2011a, Olympus Pacific Minerals into the future: Press Release of July 20, 2011, 5 p., last accessed August 9, 2011, at http://olympuspacific.com/sites/default/files/pdf/OYM_Quickfacts_Booklet.pdf.","http://olympuspacific.com/sites/default/files/pdf/OYM_Quickfacts_Booklet.pdf"
36,9,"Olympus Pacific Minerals Inc., 2011b, Resources estimates: Press Release of June 30, 2011, 11 p., last accessed August 10, 2011, at http://olympuspacific.com/investors/resource-tables.","http://olympuspacific.com/investors/resource-tables"
36,10,"Percival, T.J., Radtke, A.S., and Bagby, W.C., 1990, Relationships among carbonate-replacement gold deposits, gold skarns, and intrusive rocks, Bau mining district, Sarawak, Malaysia: Mining Geology, v. 40, no. 1, p. 1–16.",
36,11,"Sillitoe, R.H., 1990, Sediment-hosted gold deposits—Distal products of magmatic-hydrothermal systems: Geology, v. 18, p. 157–161.",
36,12,"Wolfenden, E.B., 1965, Bau mining district, West Sarawak, Malaysia. Part 1, Bau: Malaysia Geological Survey, Borneo Region, Bulletin 7, 147 p.",
36,13,"ZEDEX Minerals Ltd., 2009, Bau gold project, Malaysia—Scoping studies examine production potential: News Release of August 5, 2009, 3 p., last accessed August 10, 2011, at http://www.infomine.com/index/pr/Pa785508.PDF.","http://www.infomine.com/index/pr/Pa785508.PDF"
37,5,"Maher, B.J., 1997, Mississippian sedimentary rock-hosted gold deposits of the eastern Great Basin—Relative importance of stratigraphic and structural ore controls, in Vikre, P., Thompson, T.B., Bettles, K., Christensen, O., and Paratt, R., eds., Carlin-type gold deposits, field conference: Society of Economic Geologists Guidebook Series, v. 28, p. 171–182.",
37,2,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
37,1,"Harvest Gold, 2010, RW Project, Nevada USA: E-News, 3 p., last accessed May 11, 2011, at http://www.harvestgoldcorp.com/Projects/RWProject/default.aspx.","http://www.harvestgoldcorp.com/Projects/RWProject/default.aspx"
37,3,"NV Gold Corp., 2010, Afgan-Kobeh property: Press Release of 2010, 4 p., last accessed May 11, 2011, at http://www.nvgoldcorp.com/properties/afgan-kobeh.html.","http://www.nvgoldcorp.com/properties/afgan-kobeh.html"
37,4,"NV Gold Corp., 2011, Afgan-Kobeh property, Eureka county, Nevada: Updated Technical Report of June 13, 2011, 93 p., last accessed May 9, 2012, at http://www.nvgoldcorp.com/images/pdf/reports/NVGold_Updated_Tech_Rprt_June24 .pdf.","http://www.nvgoldcorp.com/images/pdf/reports/NVGold_Updated_Tech_Rprt_June24"
38,4,"Mountean, J.L., and Henry, C.D., 2007, Preliminary geologic map of the Jerritt Canyon mining district, Elko County, Nevada, scale 1:24,000: Nevada Bureau of Mines and Geology, 1 sheet.",
38,3,"Daly, W.E., Doe, T.C., and Loranger, R.J., 1991, Geology of the Northern Independence Mountains, Elko County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 583–602.",
38,5,"Stevens, D.I., and Hawkins, R.B., 1982, A comparison of the gold mineralization at Jerritt Canyon, Nevada with other disseminated gold deposits of the Basin-Range region, in Watson, S.T., ed., Transactions of the third Circum-Pacific energy and mineral resources conference: Honolulu, Hawaii, p. 339–347.",
38,6,"Yukon-Nevada Gold Corp., 2008, Intersects 6.1 meters of 15 g/t gold at Jerritt Canyon, Nevada: Press Release of July 10, 2008, 2 p., last accessed January 27, 2011, at http://www.chfir.com/press/07-10-08-YUKON-NEVADA.pdf.","http://www.chfir.com/press/07-10-08-YUKON-NEVADA.pdf"
38,1,"Birak, D.J., 1986, Exploration and development of the Jerritt Canyon gold deposits, Elko County, Nevada, in Macdonald, A.J., ed., Proceedings volume: Toronto, Gold ‘86 International Symposium on Geology of Gold Deposits, p. 488–496.",
38,2,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
39,5,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry, 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
39,7,"Nutt, C.J., and Hofstra, A.H., 2007, Alligator Ridge district, east-central Nevada—Carlin-type gold mineralization at shallow depth: Economic Geology, v. 98, p. 1225–1241.",
39,9,"Taylor, A.P., 1986, Geology of the Alligator Ridge gold deposits, Nevada, U.S.A., in Nesbitt, R.W., and Nichol, J., eds., Geology in the real world—the Kingsley Dunham volume: The Institution of Mining and Metallurgy, p. 425–429.",
39,8,"Tapper, C.J., 1984, Geology and genesis of the Alligator Ridge mine, White Pine County, Nevada, in Tingley, J.V., and Bonham, H.F., Jr., eds., Sediment-hosted precious metal deposits of northern Nevada: Nevada Bureau of Mines and Geology Report 40, p. 85–103.",
39,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
39,2,"Garbrecht, D.A., Jones, S.K., and Slothower, G.E., 1991, Geology of the Alligator Ridge deposits, White Pine County, Nevada, in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin, Field Trip Guidebook Compendium, v. 1: Reno, Geological Society of Nevada, p. 109–112.",
39,3,"Ilchik, R.P., 1990, Geology of the Vantage gold deposits, Alligator Ridge-Bald Mountain mining district, Nevada: Economic Geology, v. 85, no. 1, p. 50–75.",
39,4,"Ilchik, R.P., Brimhall, G.H., and Schul, H.W., 1986, Hydrothermal maturation of indigenous organic matter at the Alligator Ridge gold deposit, Nevada: Economic Geology, v. 81, p. 113–130.",
39,6,"Nutt, C.J., Hofstra, A.H., Hart, K.S., and Mortensen, J.K., 2000, Structural setting and genesis of gold deposits in the Bald Mountain-Alligator Ridge area, east-central Nevada, in Cluer, J.K., Price, J.G., Struhsacker, E.M., Hardyman, R.F., and Morris, C.L., eds., Geology and ore deposits 2000—The Great Basin and beyond: Reno, Geological Society of Nevada Symposium Proceedings, p. 513–537.",
40,8,"Nevada Bureau of Mines and Geology, 2009, The Nevada mineral industry 2009: Nevada Bureau of Mines and Geology Special Publication MI-2009, 180 p.",
40,1,"Barrick, 2011, Ruby Hill—Global operations, North America, 1 p., last accessed June 15, 2011, at http://www.barrick.com/GlobalOperations/NorthAmerica/RubyHill/default.aspx.","http://www.barrick.com/GlobalOperations/NorthAmerica/RubyHill/default.aspx"
40,2,"Barrick Gold Corporation, 2012a, Annual Report 2011: 196 p., last accessed May 4, 2012, at http://www.barrick.com/Theme/Barrick/files/ docs_annual/2012/Barrick-Annual-Report-2011.pdf.","http://www.barrick.com/Theme/Barrick/files/"
40,3,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
40,4,"Dilles, P.A., Wright, W.A., Monteleone, S.E., Russel, K.D., Marlowe, K.E., Wood, R.A., and Margolis, J., 1996, The geology of the West Archimedes deposit—A new gold discovery in the Eureka mining district, Eureka County, Nevada, in Coyner, A.R., and Fahey, P.L., eds., Geology and ore deposits of the American Cordillera: Reno, Geological Society of Nevada Symposium 1995 Proceedings, p. 159–171.",
40,5,"Margolis, J., 1997, Gold paragenesis in intrusion-marginal sediment-hosted gold mineralization at Eureka, Nevada, in Vikre, P., Thompson, T.B., Bettles, K., Christensen, O., and Parratt, R., eds., Carlin-type gold deposits field conference: Society of Economic Geologists Guidebook Series, v. 28, p. 213–221.",
40,6,"Marlowe, K.E., and Russell, K.D., 2006, West Archimedes gold deposit, northern Eureka mining district, Eureka County, Nevada, in Hill, G., ed., Geology and mineralization at Bald Mountain, East Archimedes, and South Eureka, Nevada: Geological Society of Nevada Special Publication, v. 43, p. 111–117.",
40,7,"Mining Almanac, 2010, Barrick Gold Corp., Ruby Hill reserves and resources: Update July 4, 2010, 1 p., last accessed June 15, 2011, at http://miningalmanac.com/stock/Barrick-Gold-Corp-ABX-ABX-ABR/properties/Ruby_Hill.","http://miningalmanac.com/stock/Barrick-Gold-Corp-ABX-ABX-ABR/properties/Ruby_Hill"
40,9,"Nevada Bureau of Mines and Geology, 2011, The Nevada mineral industry, 2010: Nevada Bureau of Mines and Geology Special Publication MI-2010, 151 p.",
40,10,"Nolan, T.B., 1960, The Eureka mining district, Nevada, U.S. Geological Survey Professional Paper 406, 78 p.",
40,11,"Nolan, T.B., and Hunt, R.L., 1968, The Eureka mining district, Nevada, in Ridge, J.D., ed., Ore deposits of the United States, 1933–1967 (Graton-Sales volume): New York, American Institute of Mining, Metallurgy and Petroleum Engineers, p. 966–991.",
40,12,"Russell, K.D., 2000, Influence of structure on ore occurrence, Archimedes gold deposit, Eureka County, Nevada—Update of current project activities, October 2006, in Russell K., and Hays, R.C., leaders, Cortez to Eureka gold deposits; Ruby Hill/Archimedes mine area; Cortez gold mines: Geological Society of Nevada, Symposium Geology and ore deposits 2000, the Great Basin and beyond, Field Trip Guidebook 6, p. 119–152.",
40,13,"Russell, K., 2006, East Archimedes-Ruby Hill project, Eureka County, Nevada, in Hill, G., ed., Geology and mineralization at Bald Mountain, East Archimedes, and south Eureka, Nevada: Geological Society of Nevada, 2006 Fall Field Trip Guidebook, Special Publication 43, p. 85–97.",
40,14,"Vikre, P., 1998, Base and precious metal carbonate replacement deposits associated with the Ruby Hill stock, Eureka district, Eureka County, Nevada, in Margolis, J., ed., Sediment-hosted gold deposits of the Eureka (Ruby Hill mine) and Gold Bar districts, east-central Nevada: Geological Society of Nevada Spring Field Trip Guidebook, Special Publication 27, p. 108–123.",
41,8,"Laes, D.Y.M., Krahulec, K.A., and Ballantyne, G.H., 1997, Geologic map of the Oquirrh Mountains, in John, D.A., and Ballantyne, G.H., eds, Geology and ore deposits of the Oquirrh and Wasatch mountains, Utah: Society of Economic Geologists Guidebook Series, v. 29, 1 sheet, scale 1:62,500.",
41,9,"Presnell, R.D., and Parry, W.T., 1996, Geology and geochemistry of the Barneys Canyon gold deposit, Utah: Economic Geology, v. 91, p. 273–288.",
41,1,"Arehart, G.B., Chakurian, A.M., Tretbar, D.R., Christensen, J.N., McInnes, B.A., and Donelick, R.A., 2003, Evaluation of radioisotope dating of Carlin-type deposits in the Great Basin, western North America, and implications for deposit genesis: Economic Geology, v. 98, p. 235–248.",
41,2,"Babcock, R.S., Jr., Ballantyne, G.H., and Phillips, C.H., 1997, Summary of the geology of the Bingham district, Utah, in John, D.A., and Ballantyne, G.H., eds, Geology and ore deposits of the Oquirrh and Wasatch mountains, Utah: Society of Economic Geologists Guidebook Series, v. 29, p. 113–132.",
41,3,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
41,4,"Cunninham, C.G., Austin, G.W., Naeser, C.W., Rye, R.O., Ballantyne, G.H., Stamm, R.G., and Barker, C.E., 2004, Formation of paleothermal anomaly and disseminated gold deposits associated with the Bingham Canyon porphyry Cu-Au-Mo system, Utah: Economic Geology, v. 99, p. 789–806.",
41,5,"Gibson, T.R., 2009, Discovery of the Barneys Canyon and Melco gold deposits, Salt Lake County, Utah: Utah Geological Association Publication 38, p. 133–142.",
41,6,"Gunter, W.L., and Austin, G.W., 1996, The geology of gold deposits in the Barneys Canyon project area, Salt Lake City, Utah, in Green, S.M., and Struhsacker, E., eds., Geology and ore deposits of the American Cordillera: Reno, Geological Society of Nevada, Field Trip Guidebook Compendium, p. 43–58.",
41,7,"Krahulek, K., 2010, Sedimentary rock-hosted gold and silver deposits of the northeastern Basin and Range, Utah, in Steiniger, R., and Pennel, B., eds., Great Basin evolution and metallogeny: DEStech Publications, Inc., Geological Society of Nevada, Symposium 2010 Proceedings, p. 31–62.",
42,7,"Laes, D.Y.M., Krahulec, K.A., and Ballantyne, G.H., 1997, Geologic map of the Oquirrh Mountains, in John, D.A., and Ballantyne, G.H., eds, Geology and ore deposits of the Oquirrh and Wasatch mountains, Utah: Society of Economic Geologists Guidebook Series, v. 29, 1 sheet, scale 1:62,500.",
42,4,"Gibson, T.R., 2009, Discovery of the Barneys Canyon and Melco gold deposits, Salt Lake County, Utah: Utah Geological Association Publication 38, p. 133–142.",
42,1,"Babcock, R.S., Jr., Ballantyne, G.H., and Phillips, C.H., 1997, Summary of the geology of the Bingham district, Utah, in John, D.A., and Ballantyne, G.H., eds, Geology and ore deposits of the Oquirrh and Wasatch mountains, Utah: Society of Economic Geologists Guidebook Series, v. 29, p. 113–132.",
42,2,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
42,3,"Cunninham, C.G., Austin, G.W., Naeser, C.W., Rye, R.O., Ballantyne, G.H., Stamm, R.G., and Barker, C.E., 2004, Formation of paleothermal anomaly and disseminated gold deposits associated with the Bingham Canyon porphyry Cu-Au-Mo system, Utah: Economic Geology, v. 99, p. 789–806.",
42,5,"Gunter, W.L., and Austin, G.W., 1996, The geology of gold deposits in the Barneys Canyon project area, Salt Lake City, Utah, in Green, S.M., and Struhsacker, E., eds., Geology and ore deposits of the American Cordillera: Reno, Geological Society of Nevada, Field Trip Guidebook Compendium, p. 43–58.",
42,6,"Krahulek, K., 2010, Sedimentary rock-hosted gold and silver deposits of the northeastern Basin and Range, Utah, in Steiniger, R., and Pennel, B., eds., Great Basin evolution and metallogeny: DEStech Publications, Inc., Geological Society of Nevada, Symposium 2010 Proceedings, p. 31–62.",
42,8,"Presnell, R.D., and Parry, W.T., 1996, Geology and geochemistry of the Barneys Canyon gold deposit, Utah: Economic Geology, v. 91, p. 273–288.",
43,1,"Jackson, P.R., 1991, Geology of the Bellview disseminated gold deposit, White Pine County, Nevada, in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin: Field Trip Guidebook Compendium, v. 1, p. 119–124.",
43,2,"Nevada Bureau of Mines and Geology, 1998, The Nevada mineral industry, 1998: Nevada Bureau of Mines and Geology Special Publication MI-1998, 61 p.",
44,9,"Kesler, S.E., Fortuna, J., Ye, Z., Alt, J.C., Core, D.P., Zohar, P., Borhauer, J., and Chryssoulise, S.L., 2003, Evaluation of the role of sulfidation in deposition of gold, Screamer section of the Betze-Post Carlin-type deposit, Nevada: Economic Geologist, v. 98, p. 1137–1157.",
44,1,"Almeida de, C.M., Olivo, G.R., Chounard, A., Weakly, C., and Poirier, G., 2010, Mineral paragenesis, alteration, and geochemistry of the two types of gold ore and the host rocks from the Carlin-type deposits in the southern part of the Goldstrike property, northern Nevada—Implications for sources of ore-forming elements, ore genesis, and mineral exploration: Economic Geology, v. 105, p. 971–1004.",
44,2,"Barrick Gold Corporation, 2012a, Annual Report 2011: 196 p., last accessed May 4, 2012, at http://www.barrick.com/Theme/Barrick/files/ docs_annual/2012/Barrick-Annual-Report-2011.pdf.","http://www.barrick.com/Theme/Barrick/files/"
44,3,"Bettles, K., 2002, Exploration and geology, 1962 to 2002, at the Goldstrike property, Carlin Trend, Nevada, in Goldfarb, R.J., and Nielsen, R.L., eds., Integrated methods for discovery—Global exploration in the twenty-first century: Society of Economic Geologists Special Publication 9, p. 275–298.",
44,4,"Bettles, K., and Lauha, E., 2000, Mineralization, geology, geochemistry, and geophysics of the Goldstrike mine, Carlin Trend, Nevada, in Griffin, L., ed.,  Geology and ore deposits—The Great Basin and beyond: Geological Society of Nevada Symposium 2000, Field Trip 7, p. 129–142.",
44,5,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
44,6,"Emsbo, P., Hofstra, A.H., Lauha, E.A., Griffin. G.L., and Hutchinson, R.W., 2003, Origin of high grade gold ore, source of ore fluid components, and genesis of Meikle and neighboring Carlin-type deposits, northern Carlin Trend, Nevada: Economic Geology, v. 98, no. 6, p. 1069–1106.",
44,7,"Ferdock, G.C., Castor, S.B., Leonardson, R.W., and Collins, T., 1997, Mineralogy and paragenesis of ore stage mineralization in the Betze gold deposit, Goldstrike mine, Eureka County, Nevada, in Vikre, P., Thompson, T.B., Bettles, K., Christensen, O., and Parratt, R., eds., Carlin-type gold deposits field conference: Society of Economic Geologists Guidebook Series, v. 28, p. 75–86.",
44,8,"Global Infomine, 2009, Newmont’s Nevada operations: Press Release, 6 p., last accessed March 2, 2011, at http://www.infomine.com/companies-properties/reports/propertyreport.aspx?pid=40611.","http://www.infomine.com/companies-properties/reports/propertyreport.aspx?pid=40611"
44,17,"Price, J.G., Coyner, A.R., Muntean, J., and Driesner, D., 2011, Update of Nevada mineral production and exploration: Nevada bureau of Mines and Geology Presentation, 93 p., last accessed April 30, 2012, at http://www.nbmg.unr.edu/-docs/Presentation/NWMAupdate.10.pdf.","http://www.nbmg.unr.edu/-docs/Presentation/NWMAupdate.10.pdf"
44,18,"Ressel, M.W., Noble, D.C., Heizler, M.T., Volk, J.A., Lamb, J.B., Park, D.E., Conrad, J.E., and Mortensen, J.K., 2000, Gold-mineralized Eocene dikes at Griffin and Meikle—Bearing on the age and origin of deposits of the Carlin Trend, Nevada, in Cluer, J.K., Price, J.G., Struhsacker, E.M., Hardyman, R.F., and Morris, C.L., eds., Geology and ore deposits 2000—The Great Basin and beyond: Reno, Geological Society of Nevada, v. 1, p. 79–101.",
44,19,"Streiff, R., 2000, Deep Post mine geology, in Griffin, L., ed., Geology and ore deposits—The Great Basin and beyond: Geological Society of Nevada Symposium 2000, Field Trip 7, p. 101–106.",
44,20,"Teal, L., and Jackson, M., 1997, Geologic overview of the Carlin Trend gold deposits and descriptions of recent deep discoveries: SEG Newsletter, no. 31, Oct. 1997, p. 11, 13–25.",
44,21,"Volk, J.A., Lauha, E., Leonardson, R.W., and Rahn, J.E., 1996, Structural geology of the Betze-Post and Meikle deposits, Elko and Eureka counties, Nevada, in Green, S.M., and Struhsacker, E., eds., Geology and ore deposits of the American Cordillera: Reno, Geological Society of Nevada, Field Trip Guidebook Compendium, p. 180–194.",
44,22,"Ye, Z., Kesler, S.E., Essene, E.J., Zohar, P.B., and Borhauer, J.L., 2003, Relation of Carlin-type gold mineralization to lithology, structure and alteration—Screamer zone, Betze-Post deposit, Nevada: Mineralium Deposita, v. 38, p. 22–38.",
44,10,"Leonardson, R.W., and Rahn, J.E., 1996, Geology of the Betze-Post gold deposits, Eureka County, Nevada, in Coyner, A.R., and Fahey, P.L., eds., Geology and ore deposits of the American Cordillera: Reno, Nevada, Geological Society of Nevada Symposium 1995 Proceedings, p. 61–94.",
44,11,"Mining Magazine, 2008, Goldstrike mine—Nevada’s giant golden goose: MINING.com, Sept. 2008, 4 p., last accessed February 28, 2011, at http://magazine.mining.com/issues/0810/GoldstrikeMine.pdf.","http://magazine.mining.com/issues/0810/GoldstrikeMine.pdf"
44,12,"Muntean, J.L., Coward, M.P., and Tarnocai, C.A., 2007, Reactivated Palaeozoic normal faults—Controls on the formation of Carlin-type gold deposits in north-central Nevada, in Ries, A.C., Butler, R.W.H., and Graham, R.H., eds., Deformation of the continental crust—The legacy of Mike Coward: London, Geological Society Special Publications 272, p. 571–587.",
44,13,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
44,14,"Nevada Bureau of Mines and Geology, 2011, The Nevada mineral industry, 2010: Nevada Bureau of Mines and Geology Special Publication MI-2010, 151 p.",
44,15,"Newmont Mining Corp., 2009, Annual report 2009: Annual Report, p. 33, footnote (4), last accessed May 12, 2011, at http://www.newmont.com/interactive-annual/pdf/newmont-09annualreport.pdf.","http://www.newmont.com/interactive-annual/pdf/newmont-09annualreport.pdf"
44,16,"Peters, S.G., 1995, Definition of the Carlin Trend using orientation of fold axes and applications to ore control and zoning in the central Betze orebody, Betze-Post mine, northeastern Nevada: Geological Society of Nevada, Field Trip B Guidebook, April 7–9, 1995, p. 1–14.",
45,3,"Hefner, M.L., Loptien, G.D., and Ohlin, H.N., 1991, Geology and mineralization of the Black Pine gold deposit, Cassia County, Idaho, in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin: Field Trip Guidebook Compendium, v. 1, p. 290–296.",
45,4,"Sawyer, V., Crellin, C., and Comba, S.P., 1999, Black Pine mine heap leach closure–pre-closure planning and first year closure activities: SRK Consulting Inc. Report, 20 p., last accessed August 4, 2011, at http://www.mining.ubc.ca/mlc/conf_workshops/ Book1/Chapter139.pdf.","http://www.mining.ubc.ca/mlc/conf_workshops/"
45,1,"Brady, B.T., 1984, Gold in the Black Pine mining district, southeast Cassia County, Idaho: U.S. Geological Survey Bulletin 1382-E, p. E1–E15.",
45,2,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
45,6,"Willden, R., and Adair, D.H., 1984, The Tallman disseminated gold deposit, Cassia County, Idaho: Utah Geological Association Publication 13, p. 215–226.",
45,5,"Smith, J.F., Jr., 1982, Geologic map of the 15-minute quadrangle, Cassia County, Idaho, scale 1:62,500: U.S. Geological Survey, Miscellaneous Investigations Series, Map I-1403.",
