recno,aggrd0,aggrd1,aggrd2,aggrd3,dep10km,auprgrd,augrd0,augrd1,augrd2,augrd3,augrd4,augrd5,augrd6,augrd7,augrd8,bedlens,comments,autonne,country,cntrycode,crushing,depagegeol,deparea,depcluster,deplen,depthick,depwidth,dikesill,discdate,faultzone,geochem,partsize,heapleach,introck,introckage,latitude,latdeg,latmin,latsec,locacc,longitude,londeg,lonmin,lonsec,depname,openpit,oreunit,orethick,orebreccia,owneroper,prodton,prodyear,aurecovery,rsvopyear,rsvtonop,rsvugyear,rsvtonug,rscopyear,rsctonop,rsctonug,rscugyear,srctongrd,startdate,stprov,status,stockplu,subtype,tect_set,tonnage,undergrd,veinstock
35,,,,0,"Au, As, Hg, Sb quartz-veins (epithermal ?)",,,,,,0,3.5,0,10,3.5,yes,"Ancient realgar-orpiment and gold mining for hundreds of years (Mehrabi and others, 1999). Gold mineralization occurs mostly at contact of Precambrian limestone and shale containing up to 14.5% carbon. Probable reserve is defined by Mehrabi and others (1999, p. 681) “very optimistic”. Rare silver concentrations are related to Ag-rich stibnite, Ag is generally not characteristic. Tertiary andesite and rhyollite lava flows cover a part of the deposit area. It looks like earlier sediment-hosted gold mineralization was transformed by late magmatic event causing mineral abundance and ore diversity in the deposit (VB).",280,Iran,IRAN,,Miocene,0.1,"Takab region",1,60,0.1,,"ancient time",,"Au, As, Sb, Hg, Tl","<1 to visible",,"rhyolite, quartz porphyry (mylonite)",Oligocene–Miocene,36.7205555555556,36,43,14,Accurate,47.1397222222222,47,8,23,Zarshuran,,"Precambrian Iman Khan complex, (Chaldagh Limestone and Zarshuran Black Shale unit)",130,,"state property (?)",,,,,,2.5,"1992, probable",,,80,"1992 (?), estimated","Asadi and others (1999); Daliran and others (2002)","ancient time",Azarbayjan,"mining operations",yes,Carlin,"Zagros fold belt",80,yes,yes
36,,,,0.28,"Cu-Mo-Au porphyry; Pb-Zn-Au skarn; Pb-Zn-Au vein; Au-As-Sb vein; Hg-As vein (breccia)",4.9,,,0.75,1.63,,,,,2.51,yes,"Past producer. Infill drilling in the Bau Central mineralized trend performed by Olympus in 2011 exposed intervals 40 to 78 m at 2.01 to 3.99 g/t Au; new resource estimate scheduled in 2012 (NM 1/31/2012). 91,000 tonnes of antimony and 750 tonnes of mercury were recovered as byproducts from >50 small-scale mines within the Bau goldfield (Breward and Williams, 1994). Approximate gold-silver ratio Au:Ag=9:1 (calculated from Wolfenden, 1965). Approximate Ag grade is on base of this ratio, therefore silver content in some samples of sulfide ore reaches almost 1.5 kg/t Ag (Wolfenden, 1965). Local arsenic content ≤20% As; ≤1.67% As in fine-grained ore. Mineralization mostly occurs along limestone-shale contact crossed by high-angle faults and intrusive bodies (dike, sill, stock). Some visible gold was panned in 19th century. There is a zoning of different type mineralization around Miocene porphyry intrusions: Cu-Mo-Au porphyry, Pb-Zn-Au skarn, polymetallic and Au-As-Sb veins, sediment-hosted Au, and Hg-As vein (breccia) (Percival and others, 1990; Sillitoe, 1990).",163,Malaysia,MLYA,yes,Miocene,10,Sarawak,8,,1.6,yes,1823,yes,"Au, As, Sb, Hg",≤10,yes,"dacite porphyry, microgranodiorite porphyry, quartz porphyry",13–10,1.41472222222222,1,24,53,Approximate,110.150833333333,110,9,3,Bau,yes,"Jurassic Bau Fm. and Lower Cretaceous Pedawan Fm.",500,yes,"Olimpus Pacific Minerals Inc. (93.53%)",19,1940–1996,,,,,,"2011, NI 43-101, indicated+inferred",46.8,,,"Olimpus (2011b); Wolfenden (1965)",1864,"East Malaysia",exploration,yes,Carlin,"Cretaceous-Tertiary Central Kalimantan magmatic arc superimposed on Mesozoic sedimentary Borneo block of Sundaland continent",65.8,,
37,,,,0,,,,,0.34,0.87,,,,,0.87,yes,"80% of mineralization is hosted by Webb Fm. and 20% confined to upper part of Devils Gate Limestone. Tertiary volcanic rocks covers a part of the deposit area.",3,U.S.A.,USNV,,Tertiary,0.4,"Battle Mountain–Eureka Trend",1.2,,0.45,,"late 1970s",,,,yes,,,39.7566666666667,39,45,24,Approximate,-116.267777777778,-116,-16,-4,Afgan,yes,"Mississippian Webb Fm. and Devonian Devils Gate Limestone)",0,yes,"Nevada Gold Corporation",,,,,,,,"2011, indicated+ inferred",3.5,,,"Nevada Gold (2011)",,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",3.5,,
38,,,,0,"sediment-hosted Au",8.25,,,,,,,,,8.25,yes,"Mined out. Sporadic exploration drilling. 2008 reverse circulation drill hole NF-964 contained 7.6 m interval of 7.88 g/t Au at 274 m depth (Yukon-Nevada, 2008). No visible gold. No jasperoid was reported by Birak (1986) at the deposit area.",43.7,U.S.A.,USNV,yes,Eocene,0.14,"Jerritt Canyon district",0.6,35,0.3,,1973,,"Au, As, Hg, Sb",≤4,yes,,,41.4002777777778,41,24,1,Accurate,-115.988611111111,-115,-59,-19,Alchem,yes,"Silurian-Lower Devonian Roberts Mts. Fm., lower part",70,,"Yukon-Nevada Gold Corporation",5.3,1970s,,,,,,,,,,"Yukon-Nevada Gold Corp. (2008)",1976,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",5.3,,
39,0.66,,,0.66,"sediment-hosted Au",3.6,,,,,,,,,3.6,yes,"Mined out. Silver grade 0.66 g/t Ag calculated from production 1980–1990 with reported silver recovery (Briggs, 2006), Au:Ag=5.5:1. Waste:ore=~4:1. Sedimentary breccia is stratigraphically controlled. Visible coarse gold found in hand-specimens.",24.5,U.S.A.,USNV,,"Eocene (?)",0.25,"Carlin Trend",0.8,80,0.4,,1977,,"Au, Ag, As, Hg, Sb","5 to 10; ≤50",yes,,,39.7572222222222,39,45,26,Accurate,-115.520833333333,-115,-31,-15,"Alligator Ridge",yes,"Devonian-Mississippian Pilot Shale",150,yes,"Placer Dome Inc. (last owner)",6.8,,75,,,,,,,,,"Briggs (2006); Nutt and others (2000)",1980,Nevada,inactive,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",6.8,,
40,0.35,,,0.35,"sediment-hosted Au; Pb-Ag-Au replacement; quartz-polymetallic vein",2,0.34,2,0,0.72,,,,,1.06,yes,"In the upper part of the Ruby Hill deposit, Pb-Zn-Ag-Au replacement mineralization in Cambrian limestone and dolomite, related to intrusive rocks, was mined out in 1866–1964. It was estimated by Nolan and Hunt (1968) to have yielded 283,500 tonnes (t) Pb, 1,212.9 t Ag, and 51.3 t Au from 1.8 Mt ore. Archimedes West and East deposits were discovered in 1993. Archimedes West was depleted in 2002, Archimedes East development commenced in 2004. In 2010 the mine produced 2.5 t Au (81,000 oz Au); proven and probable reserve of 2010 contains 34.2 t Au (1.1 million oz Au) (Barrick, 2011). Waste:ore=7.2:1. The East Archimedes jasperoid breccia contains clasts of base-metal mineralization (Dilles and others, 1996). 80% gold recovery indicates average gold extraction.",123,U.S.A.,USNV,yes,"Cretaceous (?)",0.2,"Battle Mountain–Eureka Trend",0.8,35,0.2,yes,"1864; 1993",yes,"Au, As, Sb, Hg, Te",≤1.5,yes,"quartz porphyry (Graveyard Flat intrusive)","101±5 Ma, K-Ar, biotite",39.5261111111111,39,31,34,Accurate,-115.984722222222,-115,-59,-5,Archimedes,yes,"Ordovician Pogonip Group and Upper Cambrian Windfall Fm.",500,yes,"Barrick Gold Corp.",19.2,1997–2011,80,"2011, proven+probable",15.2,,,"2011, measured+indicated+inferred",97.6,,,"Barrick (2012); Nevada Bureau (2011)",1997,Nevada,"mining operations",yes,Carlin,"North-American craton rifted western margin, imbricate structure",132,,
41,,,,0,"Cu-Au-Mo porphyry (Bingham); Cu-Au skarn (Carr Fork); Pb-Zn-Ag replacement and vein; sediment-hosted Au",1.58,0.55,1.64,,,,,,,1.58,yes,"Heap leaching of gold in minor amounts continues in 2009. Au:Ag=50:1 (Krahulek, 2010). Waste:ore=3.1:1 (Briggs, 2006). Low-angle thrust structures cut by reactivated high-angle normal faults bounding a local ore-bearing graben. There are two different age determinations of gold mineralization: (1) 159–147 Ma, K-Ar, illite (Presnell and Parry, 1996); (2) 33.1±1.6 Ma, U/Th-He, apatite (Arehart and others, 2003). 85% gold recovery indicates average gold extraction.",15.4,U.S.A.,USUT,yes,"Mesozoic (?); Oligocene–Eocene (?)",0.25,"Bingham porphyry system",0.8,90,0.36,,1985,yes,"Au, As, Tl, Ba, Sb, Hg",≤2,yes,,,40.5947222222222,40,35,41,Accurate,-112.132777777778,-112,-7,-58,"Barneys Canyon",yes,"Permian Park City Group and Kirkman-Diamond Creek Fm.",100,,"Rio Tinto PLC",9.8,1989–1996,85,"1987, pre-mine",8.6,,,,,,,"Gunter and Austin (1996); Krahulek (2010)",1989,Utah,inactive,,Carlin,"North-American craton, platform at rifted western margin",9.8,,
42,,,,0,"Cu-Au-Mo porphyry (Bingham); Cu-Au skarn (Carr Fork); Pb-Zn-Ag replacement and vein; sediment-hosted Au",1.44,,,,,,,,,1.44,yes,"Mined out. Heap leaching of gold in minor amounts continues in 2009. Au:Ag=50:1 (Krahulek, 2010). Waste:ore=3.1:1 (Briggs, 2006). Low-angle thrust structures cut by reactivated high-angle normal faults bounding a local ore-bearing graben. Two different age determinations of gold mineralization: (1) 159–147 Ma, K-Ar, illite (Presnell and Parry, 1996); (2) 33.1±1.6 Ma, U/Th-He, apatite (Arehart and others, 2003). 85% gold recovery indicates average gold extraction.",3.3,U.S.A.,USUT,yes,"Mesozoic (?); Oligocene–Eocene (?)",0.04,"Bingham porphyry system",0.3,,0.15,,1988,yes,"Au, Te, As, Tl, Ba, Sb, Hg",≤2,yes,,,40.5863888888889,40,35,11,Accurate,-112.140833333333,-112,-8,-27,BCS,yes,"Permian Park City Group and Kirkman-Diamond Creek Fm.",100,,"Rio Tinto PLC",2.3,1990–1996,85,,,,,,,,,"Krahulek (2010)",1990,Utah,inactive,,Carlin,"North-American craton, platform at rifted western margin",2.3,,
43,,,,2.27,"polymetallic replacement",,,,0,1.27,,,,,1.27,yes,"Explored. Total silver grade calculated from ratio Au:Ag=0.56:1 (Jackson, 1991).",1.5,U.S.A.,USNV,,Eocene,0.1,"Carlin Trend",0.5,20,0.2,yes,1950s,,"Au, As, Hg, Sb",,yes,andesite,"Tertiary (?)",40.0986111111111,40,5,55,Accurate,-115.680277777778,-115,-40,-49,Bellview,yes,"argillaceous limestone, shale, siltstone (Paleozoic)",0,yes,"Teck Resources Inc.",,,,,,,,"1988, geologic",1.16,,,"Nevada Bureau (1998)",,Nevada,inactive,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",1.16,,
44,0.23,,,0.23,"sediment-hosted Au",3.29,0,3.29,0,1.1,,,,,3.27,yes,"Tonnage, gold and silver grade, and production calculated from Barrick (2012) and Nevada Bureau (2008, 2011). Intrusive-hosted quartz-sulfide veins contain 0.34–0.7 g/t Au. 64% gold recovery indicates gold extraction in the heap-leach process.",1230,U.S.A.,USNV,yes,"Late Devonian synsedimentary, Eocene reset",1.8,"Carlin Trend",2.5,150,0.9,yes,1982,yes,"As, Au, Sb, Hg, Cu, Zn",<1,yes,"diorite to granodiorite (Goldstrike stock), lamprophyre; dacite to rhyodacite","159.3–154.6; 38.3–37.8",40.9816666666667,40,58,54,Accurate,-116.378333333333,-116,-22,-42,Betze-Post,yes,"Devonian Popovich Fm.",250,yes,"Barrick Gold Corp.",283.6,1974–2011,64,"2011, proven+probable",87,,,"2011, measured+indicated+inferred",4.2,,,"Barrick (2012); Nevada Bureau (2011)",1974,Nevada,"mining operations",yes,Carlin,"North-American craton, platform at rifted western margin",374.8,,yes
45,0.19,,,0.19,"Pb-Zn-Ag-Au vein",0.69,,,,,,,,,0.69,yes,"Mined out. 1950–1953 Tallman mine production 0.47 tonne Au (15,000 ounces) from 109,000 tonnes ore at 4.3 g/t Au (Briggs, 2006), included in total production. The highest gold content in carbonaceous siltstone is 70 g/t Au; total ratio Au:Ag=3.6:1. Waste:ore=0.86:1 (Sawyer and others, 1999). Sedimentary rocks are metamorphosed at 300–500ºC (Brady, 1984).",13.7,U.S.A.,USID,,Tertiary,1.6,,2.5,40,0.8,yes,1930s,yes,"Au, As, Hg, Ag, Sb, Ba","≤0.5; visible",yes,"mafic porphyry (altered)",Tertiary,42.0797222222222,42,4,47,Accurate,-113.0425,-113,-2,-33,"Black Pine",yes,"middle Pennsylvanian–Lower Permian Oquirrh Fm.",2000,yes,"Pegasus Gold, Inc.",30.5,1991–1997,65,,,,,,,,,"Briggs (2006)","1950; 1991",Idaho,inactive,,Carlin,"North-American craton rifted western margin, imbricate structure",30.5,,
46,0.15,,,0.15,"sediment-hosted Au; Au placer; turquoise",1.1,0,1.3,0,0.93,,,,,1.17,yes,"Approximate tonnage, gold and silver grade, and production calculated from Newmont (2012); Nevada Bureau (2008, 2011); and Williams (1997). Oxidation to depth 200 m. 64% gold recovery indicates gold extraction in the heap-leach process.",481,U.S.A.,USNV,yes,Eocene,3.1,"Carlin Trend",3.6,230,1.1,yes,"1925 (turquoise); 1974",yes,"Au, As, Hg, Sb","≤1 to 1 mm",yes,"diorite to granodiorite (Goldstrike and Little Boulder Basin stocks), lamprophyre (165.7–157.9 Ma); rhyolite porphyry (37.6 Ma)","158; 37.6, Ar-Ar, sanidine, biotite",40.9525,40,57,9,Accurate,-116.3625,-116,-21,-45,Bluestar/Genesis,yes,"Devonian Popovich Fm. and Rodeo Creek unit",1500,yes,"Newmont Gold Co.",110,1974–2011,64,"2011, proven+probable",217,,,"2011, measured+indicated+inferred",84.1,,,"Nevada Bureau (2011); Newmont (2012);Williams (1997)",1974,Nevada,"mining operations",yes,Carlin,"North-American craton, platform at rifted western margin",411,,
47,0.33,,,0.33,"sediment-hosted Au, bedded barite",1.65,0,1.58,0,2.95,,,,,1.64,yes,"Mined out. Mining operations terminated 2007. Silver grade calculated from production data of 1999–2006 (Nevada Bureau, 1988–2009) showing Au:Ag=5:1. Waste:ore=2.5:1 (Baker and Ahirichs, 1990). 64% gold recovery indicates gold extraction in the heap-leach process. In 1918, 500 tons of stibnite was mined and shipped. Dike emplacement postdates silicification, and followed by argillization. Gold displays an affinity for moderate argillization.",32,U.S.A.,USNV,yes,Eocene,0.9,"Carlin Trend",2.8,200,0.4,yes,1958,yes,"Au, As, Sb",,yes,lamprophyre,Jurassic,41.0130555555556,41,0,47,Accurate,-116.415,-116,-24,-54,Bootstrap/Capstone/Tara,yes,"Silurian-Lower Devonian Bootstrap Limestone",120,,"Newmont Gold Co.",16.7,1988–2006,64,"1996, proven+ probable",18.3,,,1996,0.9,,,"Nevada Bureau (2008); production calculated from Nevada Bureau (1988–2008) and Baker (1991)",1958,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",19.2,,
48,,,,0,"sediment-hosted Au",5.11,,,0,4.59,4.3,7.37,,,5.29,yes,"Mined OP, explored UG. 40 tons of stibnite were shipped from the mine between 1918 and 1945. According to Nevada Bureau (2004), open pit production of Burns Basin deposit was included in total production of Jerritt Canyon district. 87% gold recovery indicates gold extraction in metallurgical process.",19.3,U.S.A.,USNV,yes,Eocene,0.5,"Jerritt Canyon district",1,25,0.6,yes,,,"Au, As, Hg, Sb",≤4,yes,"andesite, andesitic basalt","320, K-Ar",41.3427777777778,41,20,34,Accurate,-116.000277777778,-116,0,-1,"Burns Basin",yes,"Silurian-Lower Devonian Roberts Mts. Fm., lower part; Late Ordovician–Early Silurian Hanson Creek Fm., unit 3",120,,"Yukon-Nevada Gold Corporation",3.64,"n.d., OP",87,,,,,"2011, NI 43-101 indicated",0.027,0.074,"2011, NI 43-101 indicated+inferred","Yukon-Nevada (2008, 2011); OP production approximately calculated from Briggs (2005) and Mosier and others (1986)",1997,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",3.6,yes,
49,,,,0,"sediment-hosted Au",,0.28,0.89,0.411,0.82,,,,,0.82,yes,"Pre-feasibility study.",1.8,U.S.A.,USNV,,"prior to 24 Ma",,"Battle Mountain–Eureka Trend",0,60,0,,1987,,,,yes,,,39.7969444444444,39,47,49,Accurate,-116.318055555556,-116,-19,-5,"Cabin Creek",yes,"Lower–Middle Devonian McColley Fm., Bartine member",100,,"US Gold Corporation",,,,"2011, probable",2,,,"2009, NI 43-101 indicated+inferred",2.2,,,"US Gold (2009, 2011)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",2.2,,
50,,,,0,"sediment-hosted Au",3.94,,,0,3.94,4.3,12.6,,,4.15,,"Mined OP, explored UG. Mineralization confined to local horst at intersection of NW and ENE faults. Oxidized ore zones are present (Wilton, 2004).",5.6,U.S.A.,USNV,yes,Eocene,0.04,"Jerritt Canyon district",0.24,,0.22,,,yes,"Au, As, Hg, Sb",,yes,,,41.3727777777778,41,22,22,Accurate,-115.955,-115,-57,-18,"California Mountain",yes,"Late Ordovician–Early Silurian Hanson Creek Fm., unit 3",0,,"Yukon-Nevada Gold Corporation",1.3,,,,,,,"2011, NI 43-101 indicated",0.007,0.038,"2011, NI 43-101 indicated+inferred","Yukon-Nevada (2008, 2011); production estimated",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",1.4,yes,
51,0.27,,,0.27,"sediment-hosted Au; placer gold",1.66,0,1.3,0,0.93,0,8.47,0,9.67,1.76,yes,"Pre-mine resource 4.5 Mt at 13.7 g/t (Jory, 2002). 1965–1986 production 3.8 M oz Au (118.2 t Au) reported separately on the Carlin deposit, later production was mostly included in total Newmont gold production in northern Carlin trend. Approximate tonnage, gold and silver grade, and production calculated from Newmont (2011, 2012); Nevada Bureau (2008, 2011). Carlin/Pete/Lantern deposits proven and probable OP reserves of 2005: 1,044,841 oz Au (Nevada Bureau, 2008) (approximately calculated 4.9 Mt of ore at average ~6.6 g/t Au). 70% gold recovery mostly indicates gold extraction in heap-leach process.",426,U.S.A.,USNV,yes,Eocene,1.2,"Carlin Trend",1.7,100,0.9,yes,1962,,"Au, As, Hg, Sb",≤0.2,yes,lamprophyre,Jurassic–Cretaceous,40.9119444444444,40,54,43,Accurate,-116.315,-116,-18,-54,Carlin,yes,"Silurian-Devonian Roberts Mts. Fm., “wispy” unit",100,,"Newmont Gold Co.",115,1965–2011,70,"2011, proven+probable",84,7.3,"2011, proven+probable","2011, measured+indicated+inferred",33,3,"2011, measured+indicated+inferred","Newmont (2011, 2012); Nevada Bureau (2011)",1965,Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",242,yes,
52,,,,0,"sediment-hosted Au; intrusion-related Au (Bald Mtn. district)",1.85,,,0,1.85,,,,,1.85,yes,"Mined out 1989–1991. Leaching of the existing heaps continued upon 1995 (Briggs, 2006). 88% of gold is confined to oxidized ore. Waste:ore=3.5:1.",1.4,U.S.A.,USNV,,Eocene-Oligocene,0.06,"Carlin Trend",0.35,20,0.2,yes,1978,yes,"Au, As, Sb",,yes,"granodiorite, quartz monzonite",159,39.9683333333333,39,58,6,Accurate,-115.515833333333,-115,-30,-57,Casino,yes,"Devonian-Mississippian Pilot Shale, basal part",70,yes,"Placer Dome inc.",0.77,,79,,,,,1990,0.77,,,"Briggs (2006); Cox and Lamborn (1991)",1989,Nevada,inactive,yes,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",0.77,,
53,,,,0,,,,,0,1.37,,,,,1.37,yes,"Miocene basalt dikes are post-mineral (Maher and others, 1993). 0.45 g/t Au was discovered by drill hole C-4 in 2008 in limestone of Devonian Denay Fm. at NNW flank of known mineralized area (Columbus Gold, 2011).",1.74,U.S.A.,USNV,,"Tertiary, older than Miocene, 17 Ma",0.1,"Battle Mountain–Eureka Trend",0.65,30,0.2,yes,mid-1960s,,"Au, As, Hg, Sb",≤1,yes,"basalt, andesitic basal","17.6±2.0, Ar-Ar, whole rock",39.8986111111111,39,53,55,Approximate,-116.294722222222,-116,-17,-41,"Chert Cliff",yes,"Mississippian Webb Fm. and Devonian Denay Fm.",150,,"Columbus Gold Corp.",,,,,,,,"1989, historic",1.27,,,"Vikre and Maher (1996)",,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",1.27,,
54,,,,0,"sediment-hosted Au; Ag-polymetallic veins",8.26,0,1.71,0,9.56,,,,,8.26,yes,"Mined 1968–1973 and 1988–1993. Production from Thompson and Hays (2000). Oxidized zone (only mined) to depth of ≥60 m. The Late Jurassic Mill Canyon quartz monzonite stock is located immediately east of the deposit partially underlying it. Post-mineral faults disrupt the ore zone. Gold particle size 0.5–10 micron, up to 0.1 mm. 87% gold recovery indicates gold extraction in metallurgical process.",32.4,U.S.A.,USNV,yes,"Eocene (?)",0.4,"Battle Mountain–Eureka Trend",0.9,,0.6,yes,1862;1966,yes,"Au, As, Sb, Ba, Hg, W","0.5 to 10",yes,"quartz monzonite Mill Canyon stock; quartz porphyry dikes and sills","160; 35",40.1938888888889,40,11,38,Accurate,-116.617777777778,-116,-37,-4,Cortez,yes,"Silurian-Lower Devonian Roberts Mts. Fm., upper part",0,yes,"Barrick Gold Corp., Cortez Gold Mines",3.3,"1968–1973; 1988–1993",87,"1988, ADA 52 pit",0.65,,,"1968, historic",3.27,,,"Hays and others (2005); Nevada Bureau (2011); Thompson and Hays (2000)",1968,Nevada,inactive,yes,Carlin,"North-American craton, platform at rifted western margin",3.92,,
55,,,,0,"sediment-hosted Au; Ag-polymetallic veins",7.43,0.69,2.4,,,,,3.1,15.8,3.65,yes,"Tonnage, grade and gold content approximately calculated from Barrick (2012), Nevada Bureau (2011), Price and others (2011). OP reserve includes Tertiary volcaniclastic colluvium conglomerate hosting conformable, paleo-placer (?) Pediment deposit of 42.9 Mt at 0.82 g/t Au. Tertiary felsic dikes mostly cut mineralization, realgar is present in some dikes (Arbonies and others, 2010). Orpiment, realgar, and aktashite post-date primary Au mineralization. The breccia pipe appears to be a result of thermohydraulic activity possibly related to magmatic-hydrothermal event (Jackson and others, 2010). Gold mineralization discovered 1000 m down dip.",305,U.S.A.,USNV,yes,Tertiary,2.5,"Battle Mountain–Eureka Trend",2.4,,1.3,yes,"1998; 2002",yes,"Au, As, Sb, Hg, Tl",≤1,yes,"quartz monzonite (Mill Canyon stock); quartz porphyry dikes","160; 35.6",40.1697222222222,40,10,11,Accurate,-116.608611111111,-116,-36,-31,"Cortez Hills",yes,"Tertiary colluvium; Ordovician to Devonian carbonate sequence of Hanson Creek, Roberts Mts., Wenban, and Horse Canyon Fms.",1200,yes,"Barrick Gold Corp.",10.8,2008–2011,,"2011, proven+probable;",69,3.7,"2010, proven+probable",,,,,"Barrick (2012); Nevada Bureau (2011)",2008,Nevada,"mining operations",yes,Carlin,"North-American craton, platform at rifted western margin",83.5,yes,yes
56,1.25,,,1.25,"sediment-hosted Au, bedded barite",1.98,,,,,,,,,1.98,yes,"Mined out. Mostly OP mining of oxide ore suspended in 2000. Production 1984–2000: mill ore 5.39 Mt at 3.63 g/t Au, heap leach ore 7.97 Mt at 0.86 g/t Au, totally containing 1.25 g/t Ag (calculated from Briggs, 2005).",26.5,U.S.A.,USNV,yes,Eocene,0.05,"Carlin Trend",0.3,55,0.2,yes,1981,yes,"Ag, Au, Ba, Hg, Sb",<4,yes,"basalt; lamprophyre","157.2–143; 37.6, Ar-Ar, biotite, sericite",41.0361111111111,41,2,10,Accurate,-116.427222222222,-116,-25,-38,Dee,yes,"Silurian-Lower Devonian Bootstrap Limestone",0,yes,"Barrick Gold Corp. (60%)",13.4,1984–2000,"60; 87",,,,,,,,,"Briggs (2005)",1984,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",13.36,yes,
57,,,,0,"sediment-hosted Au",38.4,,,,,,,6.86,41.8,38.4,,"UG mined out 2008. Mineralization represents the Carlin-type structural end member (Clode and others, 1997), located ~255 m below surface. Au:Ag=50:1.",53.8,U.S.A.,USNV,yes,Eocene,0.04,"Carlin Trend",0.36,50,0.15,yes,1988,yes,"As, Au, Sb, Hg, Tl, W",≤1,,"diorite to granodiorite (Goldstrike and Little Boulder Basin stocks), lamprophyre; dacite to rhyodacite, rhyolite","165.7–157.9; 39.67–38.05",40.9594444444444,40,57,34,Accurate,-116.361111111111,-116,-21,-40,"Deep Star",,"Devonian Popovich Fm., contact metamorphosed",420,yes,"Newmont Gold Co.",1.4,"1996–2008, UG",,,,0.38,"2000, proven +probable",,,,,"Heitt and others (2003), Nevada Bureau (2011)",1995,Nevada,inactive,yes,Carlin,"North-American craton, platform at rifted western margin",1.4,yes,yes
58,,,,0,"Cu-Au-Ag vein; Ag-Au mineralized jasperoid; Mn-replacement",1.23,,,,,,,,,1.23,yes,"Depleted. Au:Ag=27:1 (Krahulek, 2010).",3.9,U.S.A.,USUT,,"Tertiary (?)",0.14,"Drum district",0.6,15,0.3,yes,1981,,"Au, As, Sb, Pb",,yes,"felsite, porphyry, rhyodacite; pebble dikes and sills",42–35.6,39.5269444444444,39,31,37,Accurate,-113.007777777778,-113,0,-28,Drum,yes,"Middle Cambrian Pioche Fm., upper member, Howell Limestone, and Chisholm Fm.",230,,"ASOMA, Inc.",3.2,1983–1990,,,,,,,,,,"Briggs (2006); Krahulek (2010)",1983,Utah,inactive,,Carlin,"North-American craton, platform at rifted western margin",3.2,yes,
59,0.072,,,0.072,,0.89,0.3,0.89,,,,,,,0.89,yes,"Mined 1989–1997. Much of mineralization was beyond economic mining depth; waste:ore=4.2:1 (Carden, 1991). NNE high-angle Nighthawk fault is considered feeder channel. Alterations more or less emulate anticline pattern of Joana limestone. The only visible gold grain 2x3 mm was observed in a void of jasperoid breccia.",5.52,U.S.A.,USNV,yes,,0.13,"Battle Mountain–Eureka Trend",0.8,25,0.2,,1986,yes,"Au, Hg, As, Sb, Tl","1 to 5",yes,,,39.1808333333333,39,10,51,Accurate,-115.671388888889,-115,-40,-17,"Easy Junior",yes,"Mississippian Joana Limestone and Chainman Shale, lower unit",350,yes,"Midway Gold Corporation",0.42,1989–1997,,"1989, mineable",6.2,,,,,,,"Carden (1991); Nevada Bureau (2008)",1989,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",6.2,,
60,,,,0,"sediment-hosted Au",,0.1,0.62,,,,,,,0.62,yes,"According to Newmont (2009), the undeveloped reserves at the Emigrant deposit consist of 1.2 million ounces of gold (37.3 t Au). Ore-bearing Webb Fm. overlies eroded karstic paleosurface of Devils Gate Limestone with minor mineralization. Mineralized Webb Fm. basal breccia (9 to 45 m thick) overprinted by tectonic breccia (Doxey and others (2005). The breccia contains ≤25% barite as clasts and cement.",37.3,U.S.A.,USNV,,Eocene,0.9,"Carlin Trend",2,91,0.6,yes,1982,yes,"As, Au, Ba","≤1; visible",yes,"monzonite porphyry","37.5±0.8, U-Pb SHRIMP",40.6180555555556,40,37,5,Accurate,-115.973333333333,-115,-58,-24,"Emigrant Springs",yes,"Lower Mississippian Webb Fm., bottom part",150,yes,"Newmont Gold Co.",,,58,"2005, proven+probable",61.7,,,,,,,"Newmont (2009); Doxey and others (2005)",2012,Nevada,"mining operations",,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",62,,
61,,,,0,"sediment-hosted Au; placer gold",6.86,,,0,6.86,,,,,6.86,yes,"Mined out.",6.2,U.S.A.,USNV,,Eocene,0.05,"Carlin Trend",0.3,,0.2,,,,"Au, As, Hg, Sb",,yes,,,40.9094444444444,40,54,34,Accurate,-116.295555555556,-116,-17,-44,Fence,yes,"Silurian-Lower Devonian Roberts Mts. Fm., unit 2",60,,"Newmont Gold Co.",0.9,,,,,,,pre-mine,0.9,,,"Jory (2002)",,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",0.9,,
